5.091706e+01 -nan -nan -nan -nan
1.517521e+02 -7.655044e-02 -6.709023e+00 1.303834e-01 -7.871559e+02
2.525821e+02 -2.567256e-03 -1.973641e-02 1.090776e-01 7.551253e-02
3.534121e+02 -2.516285e-04 -1.998514e-03 1.037001e-01 5.438014e-02
4.542421e+02 -2.954847e-04 -1.223387e-03 1.016550e-01 5.504778e-02
5.550721e+02 -4.172393e-04 -4.454466e-03 9.952733e-02 5.019790e-02
6.559021e+02 -9.484322e-05 -8.751435e-04 9.682401e-02 4.729390e-02
7.567321e+02 -8.248677e-05 6.727070e-04 1.007951e-01 5.204906e-02
8.575621e+02 -7.766955e-05 -1.758455e-03 1.092498e-01 5.871022e-02
9.583921e+02 -9.984284e-05 -3.207639e-04 1.016295e-01 5.250991e-02
1.059222e+03 -4.634072e-05 -4.010875e-04 1.013384e-01 5.194652e-02
1.160052e+03 -3.019281e-05 1.699096e-04 1.013421e-01 5.112966e-02
1.260882e+03 -5.377587e-05 4.195186e-04 1.000624e-01 5.081461e-02
1.361712e+03 -1.285100e-05 2.810624e-05 1.016539e-01 5.157580e-02
1.462542e+03 -1.134701e-05 -9.554431e-05 1.018938e-01 5.141377e-02
1.563372e+03 -6.811465e-05 -7.427536e-05 1.063500e-01 5.536697e-02
1.664202e+03 -1.638810e-05 -4.769812e-04 9.882361e-02 4.819792e-02
1.765032e+03 -1.686506e-05 -1.245029e-04 1.006148e-01 4.974240e-02
1.865862e+03 -7.530693e-06 2.832075e-05 1.033151e-01 5.256881e-02
1.966692e+03 -3.728449e-05 9.675840e-04 1.028081e-01 5.182912e-02
2.067522e+03 -2.015238e-05 1.405686e-04 1.045170e-01 5.332506e-02
2.168352e+03 -2.388313e-05 3.492834e-05 1.025805e-01 5.171176e-02
2.269182e+03 -6.137140e-05 -6.097930e-04 1.040485e-01 5.293358e-02
2.370012e+03 -1.617278e-04 -2.125445e-03 1.009612e-01 5.093501e-02
2.470842e+03 -2.049166e-05 -4.956503e-06 1.008402e-01 5.000101e-02
2.571672e+03 -1.894053e-05 2.656483e-05 9.986186e-02 4.895797e-02
2.672502e+03 -1.207098e-05 -2.121349e-05 1.019634e-01 5.081624e-02
2.773332e+03 -1.286660e-05 2.017268e-04 1.057647e-01 5.548855e-02
2.874162e+03 -1.560982e-05 -1.448258e-04 1.038858e-01 5.277413e-02
2.974992e+03 -6.960869e-06 -1.288006e-04 1.051573e-01 5.540570e-02
3.075822e+03 -1.652093e-05 -4.361873e-04 1.017166e-01 5.062114e-02
3.176652e+03 -2.106409e-05 -4.951027e-04 9.510414e-02 4.396841e-02
3.277482e+03 -1.127290e-05 -5.044138e-05 1.077145e-01 5.695722e-02
3.378312e+03 -1.536570e-05 -9.071535e-05 1.008360e-01 4.969672e-02
3.479142e+03 -1.509893e-05 -1.446027e-04 1.011302e-01 5.085248e-02
3.579972e+03 -1.618115e-05 -2.874308e-05 9.724810e-02 4.608635e-02
3.680802e+03 -1.487682e-05 6.194873e-05 1.026456e-01 5.137202e-02
3.781632e+03 -1.111803e-05 4.142453e-04 1.088579e-01 5.743683e-02
3.882462e+03 -8.828535e-06 -1.113618e-04 1.029872e-01 5.191858e-02
3.983292e+03 -1.058658e-05 -2.655123e-04 1.069974e-01 5.578811e-02
4.084122e+03 -1.007222e-05 -3.678099e-04 1.034299e-01 5.202982e-02
4.184952e+03 -6.247018e-06 -1.000893e-04 1.026567e-01 5.193473e-02
4.285782e+03 -5.342081e-06 -8.083733e-05 1.008759e-01 4.940844e-02
4.386612e+03 -4.899732e-06 -4.958791e-05 1.047585e-01 5.513203e-02
4.487442e+03 -4.103686e-06 2.587318e-05 1.046593e-01 5.317002e-02
4.588272e+03 -1.285114e-06 -4.369759e-06 1.021074e-01 5.067274e-02
4.689102e+03 -2.395897e-06 -1.786277e-05 1.034372e-01 5.186189e-02
4.789932e+03 -1.268030e-06 -1.013796e-05 1.017698e-01 5.027322e-02
4.890762e+03 -1.586739e-06 1.580365e-05 1.040194e-01 5.244579e-02
4.991592e+03 -3.219631e-06 -4.404551e-05 1.014205e-01 5.026335e-02
5.092422e+03 -2.502937e-06 -7.795364e-07 1.006701e-01 4.904051e-02
5.193252e+03 -2.148376e-06 1.082714e-05 1.069016e-01 5.725331e-02
5.294082e+03 -3.243690e-06 -2.400070e-05 1.012776e-01 4.966052e-02
5.394912e+03 -3.594779e-06 7.003651e-06 1.050507e-01 5.322131e-02
5.495742e+03 -3.394187e-06 -2.461604e-05 1.033874e-01 5.169943e-02
5.596572e+03 -3.209888e-06 -8.954461e-06 1.011872e-01 4.997491e-02
5.697402e+03 -3.598154e-06 -5.420045e-05 1.052824e-01 5.357491e-02
5.798232e+03 -4.915914e-06 -7.290016e-05 1.049406e-01 5.356910e-02
5.899062e+03 -3.506765e-06 2.480588e-05 1.023787e-01 5.068496e-02
5.999892e+03 -3.281693e-06 -4.501109e-05 1.030661e-01 5.129980e-02
6.100722e+03 -2.892655e-06 -2.059992e-05 1.054087e-01 5.401754e-02
6.201552e+03 -3.679860e-06 -1.081555e-05 1.009560e-01 4.916616e-02
6.302382e+03 -2.698340e-06 -1.855062e-05 1.076970e-01 5.782271e-02
